Roll: 0901EE31
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 8.55, 2: 8.5, 3: 8.76, 4: 7.96, 5: 8.85, 6: 7.95, 7: 9.02, 8: 8.58}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 8.55, 2: 8.53, 3: 8.6, 4: 8.44, 5: 8.51, 6: 8.43, 7: 8.51, 8: 8.52}"
1,49,49,8.55,49,49,8.55
