Roll: 0801EE33
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 39}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 39}","{1: 4.49, 2: 5.07, 3: 4.57, 4: 5.07, 5: 2.15, 6: 0.0, 7: 1.23}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 303}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 303}","{1: 4.49, 2: 4.76, 3: 4.7, 4: 4.79, 5: 4.33, 6: 3.68, 7: 3.36}"
1,49,49,4.49,49,49,4.49
