Roll: 0901EE11
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 9.06, 2: 8.68, 3: 8.72, 4: 9.04, 5: 8.69, 6: 8.38, 7: 7.69, 8: 8.26}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 9.06, 2: 8.88, 3: 8.83, 4: 8.88, 5: 8.85, 6: 8.78, 7: 8.62, 8: 8.58}"
1,49,49,9.06,49,49,9.06
