Roll: 0801EE30
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 6.88, 2: 6.11, 3: 6.87, 4: 6.48, 5: 7.77, 6: 5.58, 7: 7.91, 8: 8.0}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 6.88, 2: 6.52, 3: 6.63, 4: 6.59, 5: 6.8, 6: 6.61, 7: 6.8, 8: 6.93}"
1,49,49,6.88,49,49,6.88
