Roll: 0901EE36
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 9.29, 2: 9.14, 3: 9.28, 4: 8.8, 5: 9.46, 6: 8.43, 7: 7.71, 8: 9.37}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 9.29, 2: 9.22, 3: 9.24, 4: 9.13, 5: 9.19, 6: 9.07, 7: 8.87, 8: 8.93}"
1,49,49,9.29,49,49,9.29
