Roll: 0801EE19
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 7.73, 2: 5.73, 3: 7.41, 4: 7.35, 5: 7.92, 6: 7.72, 7: 8.62, 8: 8.0}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 7.73, 2: 6.78, 3: 6.99, 4: 7.08, 5: 7.23, 6: 7.3, 7: 7.49, 8: 7.55}"
1,49,49,7.73,49,49,7.73
