Roll: 0801EE25
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 8.0, 2: 8.16, 3: 8.57, 4: 8.17, 5: 8.62, 6: 8.72, 7: 8.64, 8: 8.84}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 8.0, 2: 8.08, 3: 8.24, 4: 8.22, 5: 8.29, 6: 8.36, 7: 8.4, 8: 8.45}"
1,49,49,8.0,49,49,8.0
