Roll: 0901EE04
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 7.43, 2: 8.41, 3: 8.02, 4: 8.07, 5: 8.46, 6: 8.48, 7: 9.0, 8: 8.0}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 7.43, 2: 7.89, 3: 7.94, 4: 7.97, 5: 8.05, 6: 8.12, 7: 8.25, 8: 8.22}"
1,49,49,7.43,49,49,7.43
