Roll: 0901EE09
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 9.02, 2: 9.34, 3: 8.91, 4: 9.63, 5: 9.23, 6: 8.85, 7: 9.22, 8: 9.68}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 9.02, 2: 9.17, 3: 9.08, 4: 9.22, 5: 9.22, 6: 9.17, 7: 9.17, 8: 9.23}"
1,49,49,9.02,49,49,9.02
