Roll: 0801EE35
Semester Wise Details
Semester,Semester Credits,Semester Credits Cleared,SPI,Total Credits,Total Credits Cleared,CPI
"[1, 2, 3, 4, 5, 6, 7, 8]","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 49, 2: 44, 3: 46, 4: 46, 5: 39, 6: 40, 7: 45, 8: 38}","{1: 8.65, 2: 7.89, 3: 8.98, 4: 9.17, 5: 9.0, 6: 9.52, 7: 9.78, 8: 9.32}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 49, 2: 93, 3: 139, 4: 185, 5: 224, 6: 264, 7: 309, 8: 347}","{1: 8.65, 2: 8.29, 3: 8.52, 4: 8.68, 5: 8.74, 6: 8.85, 7: 8.99, 8: 9.03}"
1,49,49,8.65,49,49,8.65
